,Date,Close.Last,Volume,Open,High,Low
1711,6/16/2016,17.1207,186812,17.2654,17.2716,16.7642
1710,6/17/2016,17.0076,215769,17.171,17.4666,16.9573
1709,6/20/2016,17.2276,109835,17.2779,17.4288,17.2264
1708,6/21/2016,17.039,84688,17.2088,17.3534,16.7749
1707,6/22/2016,16.9321,87509,17.0013,17.2842,16.9007
1706,6/23/2016,17.127,93818,17.1396,17.3345,17.0642
1705,6/24/2016,16.9384,306154,16.5675,16.9573,16.5046
1704,6/27/2016,16.36,247804,16.7184,16.7184,16.1902
1703,6/28/2016,16.6681,283505,16.5926,16.7718,16.492
1702,6/29/2016,17.2402,152206,16.7875,17.3094,16.7875
1701,6/30/2016,17.3597,196820,17.2465,17.5043,17.1082
1700,7/1/2016,17.7243,212053,17.4037,17.7684,17.1962
1699,7/5/2016,17.2339,108090,17.6049,17.6049,17.039
1698,7/6/2016,17.0453,74978,17.0642,17.2465,16.9573
1697,7/7/2016,17.3471,76114,17.1082,17.3974,17.1082
1696,7/8/2016,17.3471,143263,17.4854,17.6049,17.2905
1695,7/11/2016,17.4603,213968,17.3345,17.498,17.3094
1694,7/12/2016,18.7366,399322,17.9067,19.0321,17.6049
1693,7/13/2016,19.2585,385814,18.7932,19.4345,18.6612
1692,7/14/2016,19.2396,325337,19.3968,19.7552,19.0384
1691,7/15/2016,19.2585,198332,19.3339,19.3905,18.8624
1690,7/18/2016,19.2145,215195,19.2396,19.2773,18.9127
1689,7/19/2016,19.1705,240158,19.0887,19.2711,18.9252
1688,7/20/2016,18.9001,159624,19.1327,19.1893,18.8875
1687,7/21/2016,18.9127,176791,18.7932,19.1264,18.7492
1686,7/22/2016,19.2396,273870,18.9127,19.2899,18.7932
1685,7/25/2016,18.8121,923261,19.183,19.183,18.5417
1684,7/26/2016,18.8246,322461,18.8624,18.9252,18.7052
1683,7/27/2016,18.3971,396971,18.7806,18.8687,17.9759
1682,7/28/2016,18.5669,339736,18.2965,18.5794,18.1802
1681,7/29/2016,18.4977,396301,18.5229,18.8058,18.3154
1680,8/1/2016,17.8941,733602,17.2905,18.2651,17.2025
